refYear,continent,flow,product,value_usd
2010,Africa,Export,Gaseous NG (271121),10600356035.241
2010,Africa,Export,LNG (271111),8825109133.768
2010,Africa,Import,Gaseous NG (271121),369660.196
2010,Africa,Import,LNG (271111),208034509.825
2010,Americas,Export,Gaseous NG (271121),18050609096.197
2010,Americas,Export,LNG (271111),283551413.87
2010,Americas,Import,Gaseous NG (271121),7205231354.613
2010,Americas,Import,LNG (271111),3760277120.246
2010,Asia,Export,Gaseous NG (271121),1721925992.605
2010,Asia,Export,LNG (271111),15174874137.316
2010,Asia,Import,Gaseous NG (271121),3416531808.297
2010,Asia,Import,LNG (271111),42754816692.927
2010,Europe,Export,Gaseous NG (271121),43118609357.157
2010,Europe,Export,LNG (271111),1727349556.1200001
2010,Europe,Import,Gaseous NG (271121),114672403892.021
2010,Europe,Import,LNG (271111),21341939123.638
2010,Oceania,Export,Gaseous NG (271121),35053.752
2010,Oceania,Export,LNG (271111),177886.487
2010,Oceania,Import,Gaseous NG (271121),1597232174.7380002
2010,Oceania,Import,LNG (271111),83808.97899999999
2011,Africa,Export,Gaseous NG (271121),13380823534.374
2011,Africa,Export,LNG (271111),14447058382.81
2011,Africa,Import,Gaseous NG (271121),664120.306
2011,Africa,Import,LNG (271111),422262359.426
2011,Americas,Export,Gaseous NG (271121),18696984592.693
2011,Americas,Export,LNG (271111),1337137240.882
2011,Americas,Import,Gaseous NG (271121),9281306113.842
2011,Americas,Import,LNG (271111),5218186681.842
2011,Asia,Export,Gaseous NG (271121),6672558378.173
2011,Asia,Export,LNG (271111),21888024879.616
2011,Asia,Import,Gaseous NG (271121),13968578037.043
2011,Asia,Import,LNG (271111),72523237424.081
2011,Europe,Export,Gaseous NG (271121),61422374063.824
2011,Europe,Export,LNG (271111),1834327551.335
2011,Europe,Import,Gaseous NG (271121),157386319157.198
2011,Europe,Import,LNG (271111),29328210123.412
2011,Oceania,Export,Gaseous NG (271121),24420.052
2011,Oceania,Export,LNG (271111),10619231251.265
2011,Oceania,Import,Gaseous NG (271121),2048412637.147
2011,Oceania,Import,LNG (271111),44439340.708000004
2012,Africa,Export,Gaseous NG (271121),15482454496.229
