refYear,product,Export,Import,net_trade_usd
2010,Gaseous NG (271121),77340474569.755,141144788296.92,-63804313727.16501
2010,LNG (271111),27241519306.794,70643022720.034,-43401503413.24
2011,Gaseous NG (271121),105641896244.84,195920894734.707,-90278998489.867
2011,LNG (271111),53881825885.208,109693969798.439,-55812143913.230995
2012,Gaseous NG (271121),103694854330.564,190127613535.373,-86432759204.80899
2012,LNG (271111),56399763383.993,120861332346.115,-64461568962.12201
2013,Gaseous NG (271121),109996220161.229,191035555783.62,-81039335622.39099
2013,LNG (271111),74276310746.074,143400565340.126,-69124254594.052
2014,Gaseous NG (271121),101105479960.992,157996381511.404,-56890901550.41199
2014,LNG (271111),71999744733.501,146117471546.09,-74117726812.58899
2015,Gaseous NG (271121),76540447128.74,123425714979.724,-46885267850.98399
2015,LNG (271111),57546016030.062,96314821248.977,-38768805218.91501
2016,Gaseous NG (271121),54044441967.327,99237569017.675,-45193127050.348
2016,LNG (271111),45181656384.817,73511087377.91,-28329430993.093002
2017,Gaseous NG (271121),63734686294.127,117050688672.609,-53316002378.481995
2017,LNG (271111),44120144682.861,96024556519.93,-51904411837.06899
2018,Gaseous NG (271121),77780862643.288,144902333431.576,-67121470788.287994
2018,LNG (271111),64010312809.752,133403737748.104,-69393424938.352
2019,Gaseous NG (271121),70525764418.345,123065189099.883,-52539424681.537994
2019,LNG (271111),89511539505.106,132310059702.436,-42798520197.33
2020,Gaseous NG (271121),50410171369.389,89813114469.45,-39402943100.061
2020,LNG (271111),40071843011.196,100303225668.876,-60231382657.68001
2021,Gaseous NG (271121),141206815681.649,192091750517.865,-50884934836.216
2021,LNG (271111),100713301618.059,174834176568.672,-74120874950.61299
2022,Gaseous NG (271121),310829622114.538,371889336519.165,-61059714404.62695
2022,LNG (271111),164218068751.17902,363423789662.08,-199205720910.901
2023,Gaseous NG (271121),144932256986.809,201975698795.767,-57043441808.95801
2023,LNG (271111),133649575308.668,251603930168.026,-117954354859.358
2024,Gaseous NG (271121),107607682980.788,145978095873.096,-38370412892.308014
2024,LNG (271111),106854115435.137,206201013959.241,-99346898524.104
