refYear,Export,Import
2010,1387763586.8267143,2173253489.647836
2011,1446158579.9416156,2399852421.416933
2012,1523894523.3227754,2543858131.9106855
2013,2320186502.2757363,2259413120.704282
2014,3373002691.3070183,2400284341.566836
2015,5423068821.636208,63723581565.20442
2016,27261837113.20343,44659093159.705696
2017,12098319191.328634,24778800228.324505
2018,20156991819.718742,26584772991.66201
2019,2012546469.6979668,22612299095.575733
2020,9748018651.541262,28054325874.463257
2021,7904834383.502223,28252901527.887875
2022,8036444593.557022,3973868463.633561
2023,7965722839.471581,4343026254.586735
2024,7841987257.545772,4987860253.945498
