year,1,2,3,4,5,6,7,8,9,10,11,12
2010,0.09771095972741596,0.0966374314746671,0.09523335793965919,0.08311117182469134,0.07360233964560559,0.07236038970237962,0.07026911554553254,0.06699065081856326,0.0624237117514474,0.08260866383691644,0.09146174189437431,0.10759046583874737
2011,0.09408759737401048,0.09347121102678332,0.08890189138796067,0.08790994954663153,0.08237127773070618,0.07243315429960141,0.0730141217372151,0.06784317319336111,0.07333196183654865,0.08125484428661038,0.08862383259120618,0.09675698498936498
2012,0.09383172425778064,0.10380989800518868,0.09125041173641618,0.08888032988941943,0.07548415230662904,0.0720817505135163,0.07268132429509007,0.07456322941386667,0.07325131221543409,0.08230094586566075,0.07875614164356594,0.09310877985743225
2013,0.09872544002509778,0.0879944838924082,0.09666136509608496,0.08349598410634543,0.07663417352559804,0.07500505933316726,0.07384313511253464,0.07288230446765247,0.07522542133148385,0.07857986756534534,0.08616324392289049,0.09478952162139156
2014,0.1084972181086356,0.09786679945795422,0.09755646223939923,0.0880468773213576,0.08752726218223447,0.07800433911704135,0.06648651706591006,0.06394777249290827,0.06903384169059427,0.07244192731773968,0.08057834214638697,0.09001264085983827
2015,0.10531079362419155,0.10101159519348225,0.0907238302834747,0.0825597794494282,0.07710827479152499,0.07603058583268159,0.07939027133825165,0.07671166225290577,0.07618775968507684,0.08052319100359019,0.0755403122444999,0.07890194430089237
2016,0.10084188460534155,0.08830457619205904,0.08467000250984037,0.07306545423209196,0.06684138467924963,0.06335854106935185,0.0704452597632846,0.07762073505040266,0.07548912973132917,0.08802277833541244,0.10236528768737466,0.10897496614426201
2017,0.09803960594252703,0.09254667275231457,0.08216634557064864,0.07730015058983013,0.07399072395414859,0.06941445119556422,0.07076350803573941,0.07108813861955667,0.07690879114766463,0.08533110004900213,0.09336254921309399,0.10908796292990992
2018,0.09516548188701601,0.09162748185622918,0.10238668266853486,0.07197054188883378,0.07096593004955144,0.06925980199251267,0.07680961864683582,0.07642159566928626,0.08083891575412981,0.08428773121218441,0.08748123620474901,0.09278498217013684
2019,0.11743350137405137,0.10491148523327037,0.0979295668642048,0.0819045702718754,0.08180202560304334,0.07451282815870405,0.07373996843915488,0.06758789742170809,0.06508587964529944,0.06940165042334559,0.07981887473279266,0.08587175183255008
2020,0.10425408785083344,0.0925543030942161,0.08947609242051723,0.07231575106792723,0.06557847235478537,0.062089244807603534,0.06744205595953756,0.07124251593791972,0.07596826389471029,0.09025849947932045,0.0986401152069329,0.11018059792569622
2021,0.06537256292595511,0.05984429735812566,0.07037471769081388,0.05282775904148592,0.0558055108446421,0.0540733700100358,0.06638543676665606,0.07690442751002002,0.0837384495397631,0.12314693235472379,0.12791412593742185,0.16361241002035673
2022,0.08529350179778912,0.07080978930267857,0.08689497359336534,0.08467629173580023,0.07328414895277727,0.06566606941280907,0.08485763429912087,0.11070610799888402,0.1006036227661987,0.07459410620338507,0.0689314184712498,0.09368233546594198
2023,0.13623860937037985,0.10975468207327024,0.10720949926993306,0.08779500011950267,0.07547047423603946,0.0642445665346694,0.06807268997230052,0.06973784498036455,0.057480233004067294,0.06805459422967014,0.07512939931536468,0.08081240689443812
2024,0.09414407687741905,0.07998034761238991,0.07988271715606864,0.07678267674842142,0.0808420902602277,0.08502099362781457,0.07974217542278124,0.08923243467276729,0.0729386217792442,0.07780361738106646,0.08997615030348342,0.09365409815831602
