refYear,month,product,value_usd
2010,1,Gaseous NG (271121),13791392725.015
2010,1,LNG (271111),5603710366.322
2010,2,Gaseous NG (271121),13639869807.05
2010,2,LNG (271111),5301889218.771
2010,3,Gaseous NG (271121),13441692145.198
2010,3,LNG (271111),6269608958.21
2010,4,Gaseous NG (271121),11730708752.305
2010,4,LNG (271111),5601298855.9210005
2010,5,Gaseous NG (271121),10388586647.437
2010,5,LNG (271111),5026731491.694
2010,6,Gaseous NG (271121),10213291885.625
2010,6,LNG (271111),5434280350.941
2010,7,Gaseous NG (271121),9918119437.486
2010,7,LNG (271111),5984123665.334001
2010,8,Gaseous NG (271121),9455381227.659
2010,8,LNG (271111),6544525255.759
2010,9,Gaseous NG (271121),8810781579.866
2010,9,LNG (271111),6399892036.314
2010,10,Gaseous NG (271121),11659782368.753
2010,10,LNG (271111),5462140269.131
2010,11,Gaseous NG (271121),12909348196.949
2010,11,LNG (271111),6166237315.367
2010,12,Gaseous NG (271121),15185833523.577
2010,12,LNG (271111),6848584936.27
2011,1,Gaseous NG (271121),18433726260.955
2011,1,LNG (271111),7866894937.686
2011,2,Gaseous NG (271121),18312963296.304
2011,2,LNG (271111),7285629066.142
2011,3,Gaseous NG (271121),17417738104.336998
2011,3,LNG (271111),8606871730.796
2011,4,Gaseous NG (271121),17223395971.259
2011,4,LNG (271111),8024328950.124001
2011,5,Gaseous NG (271121),16138254433.441
2011,5,LNG (271111),8712919106.047
2011,6,Gaseous NG (271121),14191168398.835
2011,6,LNG (271111),8834991812.407
2011,7,Gaseous NG (271121),14304992059.024
2011,7,LNG (271111),9699626702.282
2011,8,Gaseous NG (271121),13291895193.685
2011,8,LNG (271111),11030868147.954
2011,9,Gaseous NG (271121),14367263575.668
2011,9,LNG (271111),9822805240.455
2011,10,Gaseous NG (271121),15919521794.162
2011,10,LNG (271111),9256770326.413
2011,11,Gaseous NG (271121),17363260576.088
2011,11,LNG (271111),10171042384.016
2011,12,Gaseous NG (271121),18956715070.949
2011,12,LNG (271111),10381221394.117
2012,1,Gaseous NG (271121),17840001807.041
2012,1,LNG (271111),11672365500.726
2012,2,Gaseous NG (271121),19737128169.077
2012,2,LNG (271111),9858407587.244999
2012,3,Gaseous NG (271121),17349223017.565
2012,3,LNG (271111),11241254256.566
2012,4,Gaseous NG (271121),16898605012.112
2012,4,LNG (271111),9622798818.257
2012,5,Gaseous NG (271121),14351621737.8
2012,5,LNG (271111),10808509574.181
2012,6,Gaseous NG (271121),13704731204.587
2012,6,LNG (271111),9470435151.974
2012,7,Gaseous NG (271121),13818726736.816
2012,7,LNG (271111),10862048211.327
2012,8,Gaseous NG (271121),14176528865.949
2012,8,LNG (271111),10834207426.962
2012,9,Gaseous NG (271121),13927097179.855
2012,9,LNG (271111),10247325692.509
2012,10,Gaseous NG (271121),15647682429.142
2012,10,LNG (271111),8322647138.451
2012,11,Gaseous NG (271121),14973717261.945
2012,11,LNG (271111),8482898301.147
2012,12,Gaseous NG (271121),17702550113.484
2012,12,LNG (271111),9438434686.77
2013,1,Gaseous NG (271121),18860069305.177
2013,1,LNG (271111),13271148365.112
2013,2,Gaseous NG (271121),16810075136.279
2013,2,LNG (271111),12419526655.98
2013,3,Gaseous NG (271121),18465757603.934
2013,3,LNG (271111),12475351929.705
2013,4,Gaseous NG (271121),15950701729.456
2013,4,LNG (271111),12721426848.566
2013,5,Gaseous NG (271121),14639851931.480999
2013,5,LNG (271111),11581260477.914
2013,6,Gaseous NG (271121),14328633196.295
2013,6,LNG (271111),11345217501.991
2013,7,Gaseous NG (271121),14106664357.028
2013,7,LNG (271111),11764738492.62
2013,8,Gaseous NG (271121),13923111540.769001
2013,8,LNG (271111),11872328219.12
2013,9,Gaseous NG (271121),14370730173.117
2013,9,LNG (271111),10488103547.264
2013,10,Gaseous NG (271121),15011548673.749
2013,10,LNG (271111),12094897462.859
2013,11,Gaseous NG (271121),16460243190.929
2013,11,LNG (271111),11158795514.318
2013,12,Gaseous NG (271121),18108168945.406002
2013,12,LNG (271111),12207770324.677
2014,1,Gaseous NG (271121),17142167865.218
2014,1,LNG (271111),13873474884.802
2014,2,Gaseous NG (271121),15462600184.459
2014,2,LNG (271111),13646404822.186
2014,3,Gaseous NG (271121),15413568026.879
2014,3,LNG (271111),13304786936.242
2014,4,Gaseous NG (271121),13911088020.153
2014,4,LNG (271111),12980116175.965
2014,5,Gaseous NG (271121),13828990708.393
2014,5,LNG (271111),11268915681.794
2014,6,Gaseous NG (271121),12324403322.681
2014,6,LNG (271111),11176902976.836
2014,7,Gaseous NG (271121),10504629115.71
2014,7,LNG (271111),12547406539.437
2014,8,Gaseous NG (271121),10103516659.594
2014,8,LNG (271111),11274496044.157999
2014,9,Gaseous NG (271121),10907097188.945
2014,9,LNG (271111),10384960694.827
2014,10,Gaseous NG (271121),11445562385.914999
2014,10,LNG (271111),11489646628.7
2014,11,Gaseous NG (271121),12731086487.317
