period_group,month,mean_share
Post,1,0.105225396015196
Post,2,0.0868482729961129
Post,3,0.09132906333978902
Post,4,0.08308465620124143
Post,5,0.07653223781634814
Post,6,0.07164387652509768
Post,7,0.07755749989806754
Post,8,0.08989212921733862
Post,9,0.0770074925165034
Post,10,0.07348410593804056
Post,11,0.07801232269669929
Post,12,0.08938294683956538
Pre,1,0.09827257147523805
Pre,2,0.09254835296139156
Pre,3,0.09061089386729622
Pre,4,0.07861569326915983
Pre,5,0.07397596063897656
Pre,6,0.06988529300267997
Pre,7,0.07177252772547853
Pre,8,0.07198367523734592
Pre,9,0.07395695318529012
Pre,10,0.08484651097748763
Pre,11,0.09089215028544073
Pre,12,0.10263941737421489
