period_group,month,mean_share
Post,1,0.11010791292277027
Post,2,0.08988772736305234
Post,3,0.08361660504841757
Post,4,0.07590052557210887
Post,5,0.07786089488953808
Post,6,0.06773293213885848
Post,7,0.0733558048183101
Post,8,0.08096237634355814
Post,9,0.08517381646516875
Post,10,0.07871324392189497
Post,11,0.08158580693966032
Post,12,0.09510235357666208
Pre,1,0.09431326507673378
Pre,2,0.08519154542731593
Pre,3,0.08734019868925245
Pre,4,0.07696456464053582
Pre,5,0.07498117574268738
Pre,6,0.07509848138251775
Pre,7,0.07960759174294864
Pre,8,0.0821750047220234
Pre,9,0.07934927154111251
Pre,10,0.0798736925583838
Pre,11,0.08642826260529418
Pre,12,0.09867694587119437
