refYear,month,product,value_usd,annual_total_usd,share,regime
2010,1,Gaseous NG (271121),13791392725.015,141144788296.91998,0.09771095972741596,Pre-COVID
2010,1,LNG (271111),5603710366.322,70643022720.034,0.07932432886585437,Pre-COVID
2010,2,Gaseous NG (271121),13639869807.05,141144788296.91998,0.0966374314746671,Pre-COVID
2010,2,LNG (271111),5301889218.771,70643022720.034,0.07505184538582055,Pre-COVID
2010,3,Gaseous NG (271121),13441692145.198,141144788296.91998,0.09523335793965919,Pre-COVID
2010,3,LNG (271111),6269608958.21,70643022720.034,0.08875057602018453,Pre-COVID
2010,4,Gaseous NG (271121),11730708752.305,141144788296.91998,0.08311117182469134,Pre-COVID
2010,4,LNG (271111),5601298855.9210005,70643022720.034,0.07929019229711558,Pre-COVID
2010,5,Gaseous NG (271121),10388586647.437,141144788296.91998,0.07360233964560559,Pre-COVID
2010,5,LNG (271111),5026731491.694,70643022720.034,0.07115680074471736,Pre-COVID
2010,6,Gaseous NG (271121),10213291885.625,141144788296.91998,0.07236038970237962,Pre-COVID
2010,6,LNG (271111),5434280350.941,70643022720.034,0.0769259318429457,Pre-COVID
2010,7,Gaseous NG (271121),9918119437.486,141144788296.91998,0.07026911554553254,Pre-COVID
2010,7,LNG (271111),5984123665.334001,70643022720.034,0.08470933766593956,Pre-COVID
2010,8,Gaseous NG (271121),9455381227.659,141144788296.91998,0.06699065081856326,Pre-COVID
2010,8,LNG (271111),6544525255.759,70643022720.034,0.09264220306222834,Pre-COVID
2010,9,Gaseous NG (271121),8810781579.866,141144788296.91998,0.0624237117514474,Pre-COVID
2010,9,LNG (271111),6399892036.314,70643022720.034,0.09059482153924062,Pre-COVID
2010,10,Gaseous NG (271121),11659782368.753,141144788296.91998,0.08260866383691644,Pre-COVID
2010,10,LNG (271111),5462140269.131,70643022720.034,0.07732030792026068,Pre-COVID
2010,11,Gaseous NG (271121),12909348196.949,141144788296.91998,0.09146174189437431,Pre-COVID
2010,11,LNG (271111),6166237315.367,70643022720.034,0.08728728015793535,Pre-COVID
2010,12,Gaseous NG (271121),15185833523.577,141144788296.91998,0.10759046583874737,Pre-COVID
2010,12,LNG (271111),6848584936.27,70643022720.034,0.0969463744977574,Pre-COVID
2011,1,Gaseous NG (271121),18433726260.955,195920894734.707,0.09408759737401048,Pre-COVID
2011,1,LNG (271111),7866894937.686,109693969798.439,0.07171674935405566,Pre-COVID
2011,2,Gaseous NG (271121),18312963296.304,195920894734.707,0.09347121102678332,Pre-COVID
2011,2,LNG (271111),7285629066.142,109693969798.439,0.06641777191152105,Pre-COVID
2011,3,Gaseous NG (271121),17417738104.336998,195920894734.707,0.08890189138796067,Pre-COVID
2011,3,LNG (271111),8606871730.796,109693969798.439,0.07846257863227118,Pre-COVID
2011,4,Gaseous NG (271121),17223395971.259,195920894734.707,0.08790994954663153,Pre-COVID
2011,4,LNG (271111),8024328950.124001,109693969798.439,0.07315196053956825,Pre-COVID
2011,5,Gaseous NG (271121),16138254433.441,195920894734.707,0.08237127773070618,Pre-COVID
2011,5,LNG (271111),8712919106.047,109693969798.439,0.07942933528667855,Pre-COVID
2011,6,Gaseous NG (271121),14191168398.835,195920894734.707,0.07243315429960141,Pre-COVID
2011,6,LNG (271111),8834991812.407,109693969798.439,0.08054218320880503,Pre-COVID
2011,7,Gaseous NG (271121),14304992059.024,195920894734.707,0.0730141217372151,Pre-COVID
2011,7,LNG (271111),9699626702.282,109693969798.439,0.08842442952976282,Pre-COVID
2011,8,Gaseous NG (271121),13291895193.685,195920894734.707,0.06784317319336111,Pre-COVID
2011,8,LNG (271111),11030868147.954,109693969798.439,0.10056038785197631,Pre-COVID
2011,9,Gaseous NG (271121),14367263575.668,195920894734.707,0.07333196183654865,Pre-COVID
2011,9,LNG (271111),9822805240.455,109693969798.439,0.08954735851482315,Pre-COVID
2011,10,Gaseous NG (271121),15919521794.162,195920894734.707,0.08125484428661038,Pre-COVID
2011,10,LNG (271111),9256770326.413,109693969798.439,0.08438723061461058,Pre-COVID
2011,11,Gaseous NG (271121),17363260576.088,195920894734.707,0.08862383259120618,Pre-COVID
2011,11,LNG (271111),10171042384.016,109693969798.439,0.09272198282827339,Pre-COVID
2011,12,Gaseous NG (271121),18956715070.949,195920894734.707,0.09675698498936498,Pre-COVID
2011,12,LNG (271111),10381221394.117,109693969798.439,0.0946380317276541,Pre-COVID
2012,1,Gaseous NG (271121),17840001807.041,190127613535.373,0.09383172425778064,Pre-COVID
2012,1,LNG (271111),11672365500.726,120861332346.115,0.09657650858340218,Pre-COVID
2012,2,Gaseous NG (271121),19737128169.077,190127613535.373,0.10380989800518868,Pre-COVID
2012,2,LNG (271111),9858407587.244999,120861332346.115,0.08156792082196411,Pre-COVID
2012,3,Gaseous NG (271121),17349223017.565,190127613535.373,0.09125041173641618,Pre-COVID
2012,3,LNG (271111),11241254256.566,120861332346.115,0.093009517919048,Pre-COVID
2012,4,Gaseous NG (271121),16898605012.112,190127613535.373,0.08888032988941943,Pre-COVID
2012,4,LNG (271111),9622798818.257,120861332346.115,0.07961850685792408,Pre-COVID
2012,5,Gaseous NG (271121),14351621737.8,190127613535.373,0.07548415230662904,Pre-COVID
2012,5,LNG (271111),10808509574.181,120861332346.115,0.08942901227688171,Pre-COVID
2012,6,Gaseous NG (271121),13704731204.587,190127613535.373,0.0720817505135163,Pre-COVID
2012,6,LNG (271111),9470435151.974,120861332346.115,0.07835785828384856,Pre-COVID
2012,7,Gaseous NG (271121),13818726736.816,190127613535.373,0.07268132429509007,Pre-COVID
2012,7,LNG (271111),10862048211.327,120861332346.115,0.08987198800871196,Pre-COVID
2012,8,Gaseous NG (271121),14176528865.949,190127613535.373,0.07456322941386667,Pre-COVID
2012,8,LNG (271111),10834207426.962,120861332346.115,0.08964163489391036,Pre-COVID
2012,9,Gaseous NG (271121),13927097179.855,190127613535.373,0.07325131221543409,Pre-COVID
2012,9,LNG (271111),10247325692.509,120861332346.115,0.08478580778146116,Pre-COVID
2012,10,Gaseous NG (271121),15647682429.142,190127613535.373,0.08230094586566075,Pre-COVID
2012,10,LNG (271111),8322647138.451,120861332346.115,0.06886112354460178,Pre-COVID
2012,11,Gaseous NG (271121),14973717261.945,190127613535.373,0.07875614164356594,Pre-COVID
2012,11,LNG (271111),8482898301.147,120861332346.115,0.07018703282911208,Pre-COVID
2012,12,Gaseous NG (271121),17702550113.484,190127613535.373,0.09310877985743225,Pre-COVID
2012,12,LNG (271111),9438434686.77,120861332346.115,0.07809308819913395,Pre-COVID
2013,1,Gaseous NG (271121),18860069305.177,191035555783.62,0.09872544002509778,Pre-COVID
2013,1,LNG (271111),13271148365.112,143400565340.126,0.09254599752542605,Pre-COVID
2013,2,Gaseous NG (271121),16810075136.279,191035555783.62,0.0879944838924082,Pre-COVID
2013,2,LNG (271111),12419526655.98,143400565340.126,0.08660723635588623,Pre-COVID
2013,3,Gaseous NG (271121),18465757603.934,191035555783.62,0.09666136509608496,Pre-COVID
2013,3,LNG (271111),12475351929.705,143400565340.126,0.08699653240637661,Pre-COVID
2013,4,Gaseous NG (271121),15950701729.456,191035555783.62,0.08349598410634543,Pre-COVID
2013,4,LNG (271111),12721426848.566,143400565340.126,0.08871252925950858,Pre-COVID
