product,regime,season,avg_monthly_share
Gaseous NG (271121),COVID,Non-winter,0.07269833496922364
Gaseous NG (271121),COVID,Winter,0.0982223310430869
Gaseous NG (271121),Crisis,Non-winter,0.07845742830180534
Gaseous NG (271121),Crisis,Winter,0.09015960037747252
Gaseous NG (271121),Pre-COVID,Non-winter,0.07546660969811274
Gaseous NG (271121),Pre-COVID,Winter,0.09434674642264217
LNG (271111),COVID,Non-winter,0.07216804974255545
LNG (271111),COVID,Winter,0.09896473036042237
LNG (271111),Crisis,Non-winter,0.07709994202134819
LNG (271111),Crisis,Winter,0.09206008117011251
LNG (271111),Pre-COVID,Non-winter,0.07951778130809621
LNG (271111),Pre-COVID,Winter,0.08867510616866531
